tempoExperimento;alturaTanque1;alturaTanque2;tensaoBomba;erro;;
310,00;9,20;12;1,99;0;;
311,00;9,50;11,9;2,5;0;;
312,00;9,40;11,9;2,5;0;;
313,00;9,50;12,1;2,5;0;;
314,00;9,70;12,1;2,5;0;;
315,00;9,90;12,1;2,5;0;;
316,00;9,80;12,2;2,5;0;;
317,00;10,00;12,3;2,5;0;;
319,00;10,30;12,7;2,5;0;;
320,00;10,30;12,6;2,5;0;;
321,00;10,10;12,5;2,5;0;;
322,00;10,20;12,5;2,5;0;;
323,00;10,30;12,6;2,5;0;;
324,00;10,50;12,6;2,5;0;;
325,00;10,60;12,7;2,5;0;;
326,00;10,60;12,6;2,5;0;;
327,00;11,10;12,9;2,5;0;;
328,00;10,70;13;2,5;0;;
329,00;10,70;13,2;2,5;0;;
330,00;11,20;12,8;2,5;0;;
331,00;10,90;13,2;2,5;0;;
332,00;11,00;13,1;2,5;0;;
333,00;11,10;13,1;2,5;0;;
334,00;11,10;13;2,5;0;;
335,00;11,30;13,2;2,5;0;;
337,00;11,20;13,4;2,5;0;;
338,00;11,50;13,4;2,5;0;;
339,00;11,30;13,3;2,5;0;;
340,00;11,40;13,7;2,5;0;;
341,00;11,30;13,7;2,5;0;;
343,00;11,50;13,8;2,5;0;;
344,00;11,60;13,8;2,5;0;;
345,00;11,80;13,8;2,5;0;;
346,00;11,60;13,9;2,5;0;;
347,00;11,80;14,1;2,5;0;;
349,00;11,90;14,1;2,5;0;;
350,00;11,60;13,9;2,5;0;;
351,00;11,70;13,9;2,5;0;;
352,00;11,80;14,2;2,5;0;;
353,00;11,80;14,3;2,5;0;;
355,00;11,50;14,4;2,5;0;;
356,00;11,90;14,4;2,5;0;;
357,00;12,00;14,3;2,5;0;;
358,00;12,10;14,4;2,5;0;;
359,00;11,90;14,4;2,5;0;;
360,00;12,00;14,3;2,5;0;;
361,00;12,10;14,3;2,5;0;;
362,00;12,10;14,4;2,5;0;;
363,00;12,00;14,5;2,5;0;;
364,00;12,40;14,5;2,5;0;;
365,00;12,20;14,3;2,5;0;;
366,00;12,20;14,6;2,5;0;;
367,00;12,30;14,9;2,5;0;;
368,00;12,10;14,7;2,5;0;;
369,00;12,10;14,7;2,5;0;;
370,00;12,20;14,7;2,5;0;;
371,00;12,00;14,9;2,5;0;;
373,00;12,20;14,8;2,5;0;;
374,00;12,40;14,8;2,5;0;;
375,00;12,30;15;2,5;0;;
376,00;12,40;15,1;2,5;0;;
377,00;12,20;15;2,5;0;;
378,00;12,30;14,9;2,5;0;;
379,00;12,80;15;2,5;0;;
380,00;12,40;15,2;2,5;0;;
381,00;12,50;15,3;2,5;0;;
382,00;12,40;15,2;2,5;0;;
383,00;12,60;15;2,5;0;;
384,00;12,80;15;2,5;0;;
385,00;12,60;15,2;2,5;0;;
386,00;12,50;15,2;2,5;0;;
387,00;12,50;15,2;2,5;0;;
388,00;13,10;15,3;2,5;0;;
389,00;12,70;15,3;2,5;0;;
391,00;12,90;15,4;2,5;0;;
392,00;12,50;15,6;2,5;0;;
393,00;12,70;15,5;2,5;0;;
394,00;12,70;15,4;2,5;0;;
395,00;12,70;15,4;2,5;0;;
396,00;12,60;15,4;2,5;0;;
397,00;12,80;15,5;2,5;0;;
398,00;12,70;15,3;2,5;0;;
399,00;12,90;15,8;2,5;0;;
400,00;13,00;15,6;2,5;0;;
401,00;12,80;15,4;2,5;0;;
403,00;12,60;15,8;2,5;0;;
404,00;12,70;15,7;2,5;0;;
405,00;12,90;16;2,5;0;;
406,00;12,90;15,5;2,5;0;;
407,00;12,80;16;2,5;0;;
408,00;12,90;15,9;2,5;0;;
409,00;13,00;15,7;2,5;0;;
410,00;12,80;15,4;2,5;0;;
411,00;13,00;15,7;2,5;0;;
412,00;13,10;15,9;2,5;0;;
413,00;13,10;15,7;2,5;0;;
414,00;12,80;15,8;2,5;0;;
415,00;13,30;15,8;2,5;0;;
416,00;13,20;16,1;2,5;0;;
417,00;13,10;15,8;2,5;0;;
418,00;13,10;16,1;2,5;0;;
419,00;13,10;16;2,5;0;;
420,00;12,90;16;2,5;0;;
421,00;13,10;16,1;2,5;0;;
422,00;12,80;15,8;2,5;0;;
423,00;12,80;16,2;2,5;0;;
424,00;12,80;15,8;2,5;0;;
425,00;13,20;16,4;2,5;0;;
427,00;13,70;16;2,5;0;;
428,00;13,00;16,1;2,5;0;;
429,00;13,30;16,1;2,5;0;;
430,00;13,10;16;2,5;0;;
431,00;13,10;16,3;2,5;0;;
432,00;13,00;16,1;2,5;0;;
433,00;13,20;16,4;2,5;0;;
434,00;13,00;16,3;2,5;0;;
435,00;13,40;16,5;2,5;0;;
436,00;13,20;15,9;2,5;0;;
437,00;13,10;16,4;2,5;0;;
438,00;13,00;15,9;2,5;0;;
439,00;12,90;16,2;2,5;0;;
440,00;13,30;16;2,5;0;;
441,00;13,20;15,8;2,5;0;;
442,00;13,50;16,3;2,5;0;;
443,00;13,20;16,1;2,5;0;;
445,00;13,30;16,1;2,5;0;;
446,00;13,00;16,4;2,5;0;;
447,00;13,00;16,5;2,5;0;;
448,00;12,90;16,3;2,5;0;;
449,00;13,70;16,5;2,5;0;;
451,00;13,40;16,2;2,5;0;;
452,00;13,30;16,3;2,5;0;;
453,00;13,40;16,5;2,5;0;;
454,00;13,40;16;2,5;0;;
455,00;13,50;16,6;2,5;0;;
457,00;13,60;16,5;2,5;0;;
458,00;13,30;16,2;2,5;0;;
459,00;13,30;16,5;2,5;0;;
460,00;13,20;16,1;2,5;0;;
461,00;13,20;16,6;2,5;0;;
462,00;13,40;16,6;2,5;0;;
463,00;13,20;16,6;2,5;0;;
464,00;13,40;16,4;2,5;0;;
465,00;13,40;16,3;2,5;0;;
466,00;13,50;16,2;2,5;0;;
467,00;13,00;16,4;2,5;0;;
469,00;13,40;16,6;2,5;0;;
470,00;13,50;16,4;2,5;0;;
471,00;13,50;16,5;2,5;0;;
472,00;13,00;16,3;2,5;0;;
473,00;13,50;16,5;2,5;0;;
475,00;13,10;16,5;2,5;0;;
476,00;13,30;16,4;2,5;0;;
477,00;13,30;16,6;2,5;0;;
478,00;13,40;16,7;2,5;0;;
479,00;13,70;16,7;2,5;0;;
481,00;13,70;16,6;2,5;0;;
482,00;13,50;16,6;2,5;0;;
483,00;13,50;16,5;2,5;0;;
484,00;13,60;16,7;2,5;0;;
485,00;13,30;16,6;2,5;0;;
487,00;13,30;16,6;2,5;0;;
488,00;13,60;16,5;2,5;0;;
489,00;13,40;16,6;2,5;0;;
490,00;13,60;16,7;2,5;0;;
491,00;14,00;16,2;2,5;0;;
493,00;13,80;16,9;2,5;0;;
494,00;13,50;16,7;2,5;0;;
495,00;13,70;16,7;2,5;0;;
496,00;13,50;16,8;2,5;0;;
497,00;13,50;16,8;2,5;0;;
499,00;13,70;17;2,5;0;;
500,00;13,60;16,7;2,5;0;;
501,00;13,60;16,5;2,5;0;;
502,00;13,80;17;2,5;0;;
503,00;13,40;16,5;2,5;0;;
504,00;13,60;16,9;2,5;0;;
505,00;13,20;16,8;2,5;0;;
506,00;13,60;16,7;2,5;0;;
507,00;13,30;16,8;2,5;0;;
508,00;13,70;16,5;2,5;0;;
509,00;13,40;16,8;2,5;0;;
511,00;13,70;16,9;2,5;0;;
512,00;13,40;16,9;2,5;0;;
513,00;13,60;16,9;2,5;0;;
514,00;13,80;17;2,5;0;;
515,00;13,60;17,2;2,5;0;;
517,00;13,30;16,8;2,5;0;;
518,00;13,70;16,7;2,5;0;;
519,00;13,60;16,6;2,5;0;;
520,00;13,90;16,8;2,5;0;;
521,00;13,40;17;2,5;0;;
522,00;13,60;16,6;2,5;0;;
523,00;13,30;17;2,5;0;;
524,00;13,40;16,9;2,5;0;;
525,00;13,20;17,1;2,5;0;;
526,00;13,80;17;2,5;0;;
527,00;13,80;16,9;2,5;0;;
528,00;13,60;17;2,5;0;;
529,00;13,40;16,9;2,5;0;;
530,00;13,50;16,8;2,5;0;;
531,00;13,60;17,1;2,5;0;;
532,00;13,70;17;2,5;0;;
533,00;13,80;16,9;2,5;0;;
534,00;13,70;17,2;2,5;0;;
535,00;13,80;16,9;2,5;0;;
536,00;13,80;17,1;2,5;0;;
537,00;13,30;16,9;2,5;0;;
538,00;13,60;16,9;2,5;0;;
539,00;13,40;16,8;2,5;0;;
541,00;13,50;17;2,5;0;;
542,00;13,20;17,1;2,5;0;;
543,00;13,60;17,1;2,5;0;;
544,00;13,40;16,9;2,5;0;;
545,00;13,60;17,1;2,5;0;;
547,00;13,50;17,1;2,5;0;;
548,00;13,80;17;2,5;0;;
549,00;13,40;17,2;2,5;0;;
550,00;13,50;17;2,5;0;;
551,00;13,70;16,9;2,5;0;;
552,00;13,70;16,9;2,5;0;;
553,00;13,40;17,1;2,5;0;;
554,00;13,50;17,3;2,5;0;;
555,00;13,60;17,2;2,5;0;;
556,00;13,50;17,2;2,5;0;;
557,00;13,70;17,3;2,5;0;;
558,00;13,80;17;2,5;0;;
559,00;13,90;17,1;2,5;0;;
560,00;13,70;17;2,5;0;;
561,00;13,40;17,2;2,5;0;;
562,00;13,50;17;2,5;0;;
563,00;13,70;17,2;2,5;0;;
565,00;13,70;17,1;2,5;0;;
566,00;13,70;17;2,5;0;;
567,00;13,50;17,2;2,5;0;;
568,00;13,40;17,4;2,5;0;;
569,00;13,70;17,1;2,5;0;;
571,00;13,60;16,9;2,5;0;;
572,00;13,60;17,1;2,5;0;;
573,00;14,00;17,2;2,5;0;;
574,00;13,70;17,2;2,5;0;;
575,00;13,50;17;2,5;0;;
576,00;13,70;17,2;2,5;0;;
577,00;13,90;17;2,5;0;;
578,00;13,70;17,2;2,5;0;;
579,00;13,80;17,3;2,5;0;;
580,00;13,60;17,3;2,5;0;;
581,00;14,00;17,1;2,5;0;;
583,00;13,50;17;2,5;0;;
584,00;13,80;17,4;2,5;0;;
585,00;13,60;17,1;2,5;0;;
586,00;13,70;17;2,5;0;;
587,00;13,90;17,2;2,5;0;;
589,00;13,60;17,1;2,5;0;;
590,00;14,00;17,1;2,5;0;;
591,00;14,10;17;2,5;0;;
592,00;13,60;17,3;2,5;0;;
593,00;14,00;17,1;2,5;0;;
595,00;13,70;17,2;2,5;0;;
596,00;13,50;17;2,5;0;;
597,00;13,90;17,2;2,5;0;;
598,00;13,70;17,4;2,5;0;;
599,00;14,00;17,2;2,5;0;;
600,00;13,80;17,2;2,5;0;;
601,00;13,90;17,2;2,5;0;;
602,00;13,90;16,9;2,5;0;;
603,00;14,00;17,3;2,5;0;;
604,00;13,90;17;2,5;0;;
605,00;14,10;17;2,5;0;;
607,00;14,00;17,2;2,5;0;;
608,00;13,80;17,1;2,5;0;;
609,00;13,90;17,4;2,5;0;;
