tempoExperimento;alturaTanque1;alturaTanque2;tensaoBomba;erro;;
526;13.8;17;2.5;0;;
527;13.8;16.9;2.5;0;;
528;13.6;17;2.5;0;;
529;13.4;16.9;2.5;0;;
530;13.5;16.8;2.5;0;;
531;13.6;17.1;2.5;0;;
532;13.7;17;2.5;0;;
533;13.8;16.9;2.5;0;;
534;13.7;17.2;2.5;0;;
535;13.8;16.9;2.5;0;;
536;13.8;17.1;2.5;0;;
537;13.3;16.9;2.5;0;;
538;13.6;16.9;2.5;0;;
539;13.4;16.8;2.5;0;;
541;13.5;17;2.5;0;;
542;13.2;17.1;2.5;0;;
543;13.6;17.1;2.5;0;;
544;13.4;16.9;2.5;0;;
545;13.6;17.1;2.5;0;;
547;13.5;17.1;2.5;0;;
548;13.8;17;2.5;0;;
549;13.4;17.2;2.5;0;;
550;13.5;17;2.5;0;;
551;13.7;16.9;2.5;0;;
552;13.7;16.9;2.5;0;;
553;13.4;17.1;2.5;0;;
554;13.5;17.3;2.5;0;;
555;13.6;17.2;2.5;0;;
556;13.5;17.2;2.5;0;;
557;13.7;17.3;2.5;0;;
558;13.8;17;2.5;0;;
559;13.9;17.1;2.5;0;;
560;13.7;17;2.5;0;;
561;13.4;17.2;2.5;0;;
562;13.5;17;2.5;0;;
563;13.7;17.2;2.5;0;;
565;13.7;17.1;2.5;0;;
566;13.7;17;2.5;0;;
567;13.5;17.2;2.5;0;;
568;13.4;17.4;2.5;0;;
569;13.7;17.1;2.5;0;;
571;13.6;16.9;2.5;0;;
572;13.6;17.1;2.5;0;;
573;14;17.2;2.5;0;;
574;13.7;17.2;2.5;0;;
575;13.5;17;2.5;0;;
576;13.7;17.2;2.5;0;;
577;13.9;17;2.5;0;;
578;13.7;17.2;2.5;0;;
579;13.8;17.3;2.5;0;;
580;13.6;17.3;2.5;0;;
581;14;17.1;2.5;0;;
583;13.5;17;2.5;0;;
584;13.8;17.4;2.5;0;;
585;13.6;17.1;2.5;0;;
586;13.7;17;2.5;0;;
587;13.9;17.2;2.5;0;;
589;13.6;17.1;2.5;0;;
590;14;17.1;2.5;0;;
591;14.1;17;2.5;0;;
592;13.6;17.3;2.5;0;;
593;14;17.1;2.5;0;;
595;13.7;17.2;2.5;0;;
596;13.5;17;2.5;0;;
597;13.9;17.2;2.5;0;;
598;13.7;17.4;2.5;0;;
599;14;17.2;2.5;0;;
600;13.8;17.2;2.5;0;;
601;13.9;17.2;2.5;0;;
602;13.9;16.9;2.5;0;;
603;14;17.3;2.5;0;;
604;13.9;17;2.5;0;;
605;14.1;17;2.5;0;;
607;14;17.2;2.5;0;;
608;13.8;17.1;2.5;0;;
609;13.9;17.4;2.5;0;;
