tempoExperimento,alturaTanque1,alturaTanque2,tensaoBomba,erro
414,9.9,10.6,1.99,0
415,9.8,10.7,1.99,0
416,9.9,10.8,1.99,0
417,9.6,10.6,1.99,0
419,9.9,10.6,1.99,0
420,9.7,10.5,1.99,0
421,9.7,10.8,1.99,0
422,10.0,10.8,1.99,0
423,9.9,10.8,0.00,0
425,9.9,10.7,1.99,0
426,9.8,10.7,1.99,0
427,9.9,11.0,1.99,0
428,10.0,10.7,1.99,0
429,9.9,10.9,1.99,0
431,9.9,10.8,1.99,0
432,9.7,10.9,1.99,0
433,10.0,10.7,1.99,0
434,9.6,10.8,1.99,0
435,9.9,10.7,1.99,0
437,10.0,10.8,1.99,0
438,9.9,10.9,1.99,0
439,10.0,10.9,1.99,0
440,10.1,10.9,1.99,0
441,9.9,10.7,1.99,0
443,10.1,10.9,1.99,0
444,10.1,10.8,1.99,0
445,10.0,10.9,1.99,0
446,10.0,11.0,1.99,0
447,9.8,10.9,1.99,0
449,10.1,11.0,1.99,0
450,9.9,10.9,1.99,0
451,9.8,10.8,1.99,0
452,9.9,11.0,1.99,0
453,11.9,11.0,1.99,0
455,9.9,11.1,1.99,0
456,10.1,11.1,1.99,0
457,10.0,11.1,1.99,0
458,10.2,11.0,1.99,0
459,9.8,11.0,1.99,0
460,9.9,11.0,1.99,0
461,10.0,11.0,1.99,0
462,10.0,10.9,1.99,0
463,9.9,11.1,1.99,0
464,10.1,10.9,1.99,0
465,10.1,11.0,1.99,0
466,9.9,11.0,1.99,0
467,10.1,11.1,1.99,0
468,10.0,11.1,1.99,0
469,10.1,11.1,1.99,0
470,10.0,11.1,1.99,0
471,10.0,11.0,1.99,0
473,10.0,11.1,1.99,0
474,10.0,11.2,1.99,0
475,10.1,11.1,1.99,0
476,10.7,11.1,1.99,0
477,10.2,11.1,1.99,0
479,10.2,11.2,1.99,0
480,9.9,11.4,1.99,0
481,9.8,11.2,1.99,0
482,10.0,11.2,1.99,0
483,10.1,11.2,1.99,0
485,9.9,11.0,1.99,0
486,10.3,11.2,1.99,0
487,9.9,11.3,1.99,0
488,9.8,11.1,1.99,0
489,10.1,11.1,1.99,0
491,10.2,11.3,1.99,0
492,9.8,11.2,1.99,0
493,10.1,11.2,1.99,0
494,9.9,11.1,1.99,0
495,10.3,11.3,1.99,0
497,10.1,11.1,1.99,0
498,9.8,11.1,1.99,0
499,10.0,11.3,1.99,0
500,10.1,11.2,1.99,0
501,10.2,11.4,1.99,0
502,9.6,11.2,1.99,0
503,9.9,11.4,1.99,0
504,10.2,11.3,1.99,0
